0,1,2,3,4,5,6,7
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,402.41,386.0,409.0,386.0,399.0,-3.41,"3,543"
Atlas Honda Ltd,"1,166.02",1167.0,1179.9,1160.0,1170.22,4.2,"3,626"
Dewan Motors,32.75,33.75,36.03,33.5,36.03,3.28,"3,425,976"
Ghandhara Automobile,478.59,479.0,485.5,479.0,480.8,2.21,"490,334"
Ghandhara Ind.,707.30,708.0,715.98,692.9,697.0,-10.3,"271,854"
Hinopak Motor,342.24,343.0,345.0,340.0,340.0,-2.24,"2,326"
Honda Atlas Cars,284.38,287.0,292.64,283.01,288.5,4.12,"471,423"
Indus Motor Co.XD,"1,935.55",1935.0,1948.0,1935.0,1940.65,5.1,541
Millat Tractors,588.19,592.0,592.0,584.01,586.0,-2.19,"20,254"
Sazgar Engineering,"1,318.54",1322.86,1340.0,1306.0,1334.0,15.46,"202,945"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,110.00,110.03,114.99,109.99,110.01,0.01,"25,011"
Atlas Battery,257.00,258.99,259.99,255.0,257.05,0.05,"4,416"
Bal.Wheels,134.53,134.53,135.9,134.0,134.0,-0.53,"1,389"
Bela Automotive,132.60,132.82,142.99,132.81,134.99,2.39,165
Dewan Auto Engg,28.05,28.3,28.95,28.29,28.5,0.45,"1,513"
Exide (PAK),781.68,788.88,797.0,780.0,788.0,6.32,"2,613"
Ghandhara Tyre,36.90,36.99,38.0,36.99,37.6,0.7,"274,057"
Loads Limited,14.86,14.9,15.25,14.65,15.09,0.23,"473,074"
Panther Tyres Ltd.,40.03,40.88,40.9,39.65,39.99,-0.04,"2,449"
Thal Limited,387.40,388.0,388.0,361.0,383.99,-3.41,"5,893"
Treet Battery Ltd.,10.96,10.99,11.09,10.84,10.86,-0.1,"670,228"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Fast Cables Ltd.,21.54,21.8,21.9,21.51,21.8,0.26,"175,025"
Pak Elektron,45.30,45.4,45.95,44.8,45.75,0.45,"1,864,787"
Pakistan Cables-,154.18,154.7,155.0,154.0,155.0,0.82,"2,001"
Waves Corp Ltd.,7.50,7.5,7.6,7.41,7.45,-0.05,"190,557"
Waves Home App,9.05,9.16,9.23,8.88,9.0,-0.05,"672,673"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement,278.70,279.0,301.0,276.0,296.51,17.81,"414,446"
Bestway Cement,403.28,401.0,405.0,401.0,401.63,-1.65,"6,290"
Cherat Cement,274.22,274.89,279.0,271.07,278.0,3.78,"517,117"
D.G.K.Cement,150.74,150.01,154.45,148.15,153.25,2.51,"7,316,517"
Dadabhoy Cement,4.80,4.88,4.88,4.55,4.8,,"2,025"
Dandot Cement,14.25,14.3,14.95,14.25,14.8,0.55,"57,316"
Dewan Cement,10.44,10.6,10.75,10.21,10.65,0.21,"2,923,725"
Fauji Cement,47.53,47.53,49.85,47.2,48.78,1.25,"24,547,119"
Fecto Cement,72.03,73.0,76.0,72.2,76.0,3.97,"62,189"
Flying Cement,40.87,42.8,44.96,42.3,44.96,4.09,"1,934,922"
Gharibwal CementXD,41.03,41.49,43.25,40.5,42.6,1.57,"998,912"
Kohat Cement,384.11,382.01,389.9,382.01,387.01,2.9,"44,610"
Lucky Cement,351.19,364.95,364.95,355.1,357.2,6.01,"2,633,927"
Maple Leaf,75.92,75.92,77.5,74.8,76.3,0.38,"7,644,836"
Pioneer Cement,217.96,218.0,219.75,216.98,219.3,1.34,"27,044"
Power Cem(Pref),15.35,16.89,16.89,16.89,16.89,1.54,100
Power Cement,15.13,15.15,15.55,14.99,15.27,0.14,"3,473,482"
Safe Mix Con.Ltd,16.43,16.7,17.24,16.7,17.24,0.81,"29,468"
Thatta Cement,179.68,179.68,183.9,176.0,182.0,2.32,"338,796"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Archroma Pak,418.06,421.03,421.03,417.0,417.0,-1.06,"2,902"
Bawany Air Pro(DEF.),33.18,34.84,36.35,33.0,35.58,2.4,"102,232"
Berger Paints,91.80,92.33,92.4,91.15,92.3,0.5,"11,664"
Biafo IndustriesXD,174.84,170.05,174.95,170.05,174.95,0.11,736
Buxly Paints,111.01,108.0,108.1,108.0,108.0,-3.01,"1,215"
Descon Oxychem,25.52,25.42,25.88,25.25,25.87,0.35,"106,782"
Dynea Pakistan,217.41,222.99,222.99,216.0,220.05,2.64,"2,387"
Engro Polymer,29.98,30.25,30.4,30.05,30.3,0.32,"214,391"
Ghani Chemical,17.31,17.4,18.25,16.86,18.2,0.89,"5,368,556"
Ghani Chemworld,7.14,7.28,7.54,6.88,7.53,0.39,"1,184,263"
Ghani Glo Hol,12.77,12.81,13.63,12.57,13.4,0.63,"1,544,611"
Ittehad Chemicals,75.04,72.01,73.34,67.54,72.11,-2.93,"8,337"
Leiner Pak Gelat,106.77,109.99,109.99,104.55,106.5,-0.27,"6,160"
Lotte Chemical,18.39,18.4,18.91,18.05,18.75,0.36,"338,444"
Lucky Core Ind.,"1,557.37",1588.7,1588.9,1560.0,1568.0,10.63,"32,632"
Nimir Ind.ChemXD,152.90,153.85,157.95,148.05,148.1,-4.8,284
Nimir Resins,32.68,33.0,34.9,32.9,34.21,1.53,"171,285"
Pak Oxygen Ltd.,156.33,154.0,159.99,153.0,159.99,3.66,"2,263"
Pak.P.V.C.,7.40,7.1,7.1,7.1,7.1,-0.3,6
Sardar Chemical,33.41,33.3,33.3,33.3,33.3,-0.11,1
Sitara Peroxide,12.38,11.75,12.01,11.75,12.01,-0.37,"27,220"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Growth Fund,9.31,9.5,9.69,9.16,9.68,0.37,"31,625"
HBL Invest Fund,3.40,3.42,3.45,3.28,3.45,0.05,"4,041"
Tri-Star Mutual,8.12,8.94,8.94,7.77,8.87,0.75,601
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Bank LtdXD,127.84,127.0,128.5,127.0,127.99,0.15,"42,276"
Askari Bank,44.01,44.45,44.45,43.25,44.0,-0.01,"84,567"
B.O.Punjab,9.96,10.0,10.1,9.7,10.02,0.06,"8,712,502"
Bank Al-Falah,74.65,74.56,74.85,74.0,74.4,-0.25,"144,611"
Bank AL-HabibXD,140.01,140.0,140.5,139.02,139.25,-0.76,"25,268"
Bank Makramah,3.51,3.45,3.69,3.42,3.52,0.01,"91,600"
Bank Of Khyber,14.80,15.4,15.4,14.07,14.5,-0.3,"5,052"
Bankislami Pak,19.75,19.76,19.96,19.73,19.79,0.04,"146,009"
Faysal BankXD,47.90,47.99,47.99,47.47,47.7,-0.2,"517,535"
Habib BankXD,158.05,159.0,159.8,157.6,158.66,0.61,"710,591"
Habib MetropolitanXD,88.09,88.68,88.68,88.04,88.04,-0.05,"2,052"
JS Bank Ltd,8.19,8.41,8.41,8.2,8.3,0.11,"2,861"
MCB Bank LtdXD,286.51,287.0,287.0,283.75,285.01,-1.5,"101,077"
Meezan Bank LtdXD,275.92,277.45,284.0,275.0,279.9,3.98,"659,720"
National BankXD,88.07,88.4,88.8,86.7,88.1,0.03,"830,202"
Soneri Bank Ltd,15.91,15.9,16.18,15.9,15.91,,"114,765"
St.Chart.Bank,59.46,58.15,60.59,58.15,59.89,0.43,"2,494"
United Bank,495.26,493.99,504.89,490.06,502.0,6.74,"807,325"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agha Steel Ind.,7.54,7.59,7.59,7.35,7.54,,"212,645"
Aisha Steel Mill,10.31,10.35,10.48,10.21,10.35,0.04,"277,857"
Amreli Steels,20.49,20.69,20.69,20.22,20.4,-0.09,"14,359"
Beco Steel Ltd,9.00,9.0,9.0,8.7,8.84,-0.16,"31,884"
Bolan Casting,92.72,92.3,93.0,90.11,92.11,-0.61,"13,601"
Crescent SteelXD,116.32,116.8,117.38,115.0,117.0,0.68,"192,784"
Dadex Eternit,63.18,63.0,63.0,63.0,63.0,-0.18,42
Dost Steels Ltd.,8.46,8.16,8.9,8.16,8.35,-0.11,"14,905"
Int. Ind.Ltd.,142.87,144.0,144.0,140.2,143.0,0.13,"33,934"
Inter.Steel Ltd,75.18,74.45,74.98,74.0,74.15,-1.03,"19,571"
Ittefaq Iron Ind,6.89,6.9,7.0,6.66,6.97,0.08,"48,778"
K.S.B.Pumps,165.13,162.3,166.9,162.3,166.0,0.87,"43,448"
Metro Steel,8.86,9.2,9.2,9.2,9.2,0.34,2
Mughal Iron,65.97,65.4,67.25,65.3,67.0,1.03,"176,942"
Pak Engineering,718.35,719.0,719.0,719.0,719.0,0.65,562
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Total Treasury,117.65,117.7,117.7,117.7,117.7,0.05,600
JS Global Banking,21.93,22.0,23.15,22.0,22.12,0.19,"2,500"
JS Momentum,11.25,11.11,11.47,11.05,11.44,0.19,"120,500"
Mahaana Islamic,15.47,15.5,15.5,15.11,15.3,-0.17,"61,500"
Meezan Pakistan,17.29,17.18,17.4,17.05,17.26,-0.03,"19,500"
UBLPakistanETF,26.68,26.5,27.87,26.5,27.87,1.19,"5,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited,50.97,54.69,56.07,52.75,56.07,5.1,"240,429"
Arif Habib Corp,10.85,10.8,10.89,10.61,10.8,-0.05,"255,478"
Engro FertertXD,179.16,177.0,178.5,176.61,177.79,-1.37,"241,730"
Fatima Fert,82.96,82.96,84.7,82.6,84.35,1.39,"165,290"
Fauji FertXD,368.79,369.9,374.48,365.01,372.66,3.87,"1,698,830"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corp,6.88,7.2,7.64,7.16,7.5,0.62,"8,574,873"
At-Tahur Ltd.,40.76,40.0,43.45,39.5,42.57,1.81,"9,774,218"
Barkat Frisian Agro,28.63,28.88,28.89,28.3,28.65,0.02,"257,737"
Big Bird Foods Ltd.,50.16,50.5,50.5,49.5,49.51,-0.65,"563,585"
Bunnys Limited,25.46,26.0,26.5,24.89,25.7,0.24,"387,140"
Clover Pakistan,37.02,37.19,37.28,36.15,37.15,0.13,"92,461"
Colgate Palm,"1,346.29",1346.0,1349.0,1325.0,1335.0,-11.29,"1,074"
Fauji Foods Ltd,14.49,14.65,14.85,14.45,14.76,0.27,"2,751,014"
Frieslandcampina,95.48,96.16,99.49,96.0,97.8,2.32,"1,184,321"
Gillette Pak,258.51,258.0,259.9,247.06,256.0,-2.51,286
Ismail Ind-,"1,668.33",1705.0,1709.7,1705.0,1709.7,41.37,8
Matco Foods Ltd,39.06,38.0,39.49,38.0,38.99,-0.07,140
MithchellsFruit,177.05,179.95,189.0,176.65,184.25,7.2,"39,967"
Murree Brewery,835.11,840.0,840.0,825.0,835.0,-0.11,23
National FoodsXD,251.22,253.0,256.0,250.25,252.0,0.78,"120,074"
Nestle Pakistan,"7,074.09",7074.09,7074.1,7074.09,7074.1,0.01,2
Quice Food,6.72,6.86,6.86,6.52,6.77,0.05,"106,076"
Rafhan Maize,"8,911.00",8899.9,8899.9,8899.9,8899.9,-11.1,2
Shezan Inter.,176.34,172.06,174.81,172.06,173.02,-3.32,245
Shield Corp.,278.63,278.0,278.0,278.0,278.0,-0.63,1
The Organic Meat,30.14,30.6,30.9,30.1,30.56,0.42,"213,616"
Treet Corp,19.23,19.25,19.3,18.91,19.23,,"1,339,790"
Unilever FoodsXD,"22,912.50",23199.0,23199.0,22500.0,22974.99,62.49,13
Unity Foods Ltd,26.13,26.15,27.15,26.13,27.13,1.0,"516,762"
ZIL Limited,282.89,283.49,288.5,283.49,288.5,5.61,58
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AGHA-MAY,7.57,7.5,7.5,7.49,7.5,-0.07,"16,000"
AGL-MAY,51.01,53.5,56.11,53.4,56.11,5.1,"51,000"
AIRLINK-MAY,155.63,156.25,157.0,155.7,156.0,0.37,"166,500"
ASL-MAY,10.48,10.42,10.55,10.25,10.55,0.07,"30,000"
AKBL-MAYB,44.27,44.26,44.26,44.0,44.0,-0.27,"11,500"
PREMA-MAY,40.82,40.0,43.8,40.0,42.8,1.98,"2,913,000"
ATRL-JUN,554.99,578.0,578.0,578.0,578.0,23.01,500
ATRL-MAY,560.47,564.99,578.99,552.05,573.0,12.53,"117,000"
AVN-MAY,47.41,47.5,48.0,46.64,47.4,-0.01,"189,500"
BOP-JUN,10.05,10.23,10.23,10.2,10.2,0.15,"2,002,000"
BOP-MAYB,10.00,10.02,10.15,9.95,10.09,0.09,"3,180,000"
BAFL-MAYB,75.02,74.0,75.1,74.0,74.95,-0.07,"12,500"
CEPB-MAY,22.78,23.54,23.54,23.54,23.54,0.76,500
CHCC-MAY,272.94,274.0,279.0,274.0,279.0,6.06,"7,000"
CPHL-MAY,78.33,82.5,83.7,81.0,82.75,4.42,"1,026,500"
CNERGY-MAY,7.38,7.25,7.37,7.2,7.35,-0.03,"297,000"
CSAP-MAYB,117.75,117.75,117.75,115.5,117.5,-0.25,"17,500"
DGKC-JUN,142.00,154.0,154.0,154.0,154.0,12.0,"1,000"
DGKC-MAY,151.42,151.99,154.99,149.1,153.8,2.38,"3,075,000"
DCL-MAY,10.51,10.59,10.8,10.37,10.7,0.19,"1,532,000"
DFML-MAY,32.96,34.78,36.26,34.0,36.26,3.3,"1,651,500"
EFERT-MAYC,179.89,179.0,179.0,179.0,179.0,-0.89,500
EPCL-MAY,30.00,30.45,30.45,30.45,30.45,0.45,"2,000"
FCCL-MAY,47.66,48.0,50.1,47.26,48.95,1.29,"9,350,000"
FFC-MAYC,371.16,382.0,382.0,368.0,374.5,3.34,"29,500"
FFL-MAY,14.58,14.7,14.93,14.52,14.85,0.27,"1,804,500"
FLYNG-JUN,41.66,45.83,45.83,45.83,45.83,4.17,500
FLYNG-MAY,41.35,43.0,45.49,42.32,45.49,4.14,"1,030,500"
FCEPL-MAYB,94.59,99.0,99.5,98.35,98.35,3.76,"41,000"
GAL-MAY,481.27,484.51,487.2,481.5,483.8,2.53,"320,000"
GHNI-MAY,710.91,711.01,718.0,695.0,700.0,-10.91,"133,500"
GCIL-MAY,17.53,17.45,18.3,17.45,18.3,0.77,"488,000"
GHGL-MAY,31.50,32.5,32.5,32.5,32.5,1.0,"2,500"
GGL-MAY,12.83,12.85,13.7,12.66,13.65,0.82,"501,000"
HBL-MAYC,159.42,159.0,159.58,159.0,159.0,-0.42,"50,500"
HUBC-MAY,139.40,139.5,141.25,138.01,140.3,0.9,"835,000"
HUMNL-MAY,12.75,12.9,12.9,12.9,12.9,0.15,500
IMAGE-MAYB,21.50,22.1,22.1,21.4,21.59,0.09,"22,000"
ISL-MAY,75.59,75.26,75.26,74.4,75.0,-0.59,"8,500"
ILP-MAY,57.35,58.1,58.1,58.1,58.1,0.75,"1,000"
JSBL-JUN,8.35,8.4,8.4,8.4,8.4,0.05,"20,000"
KEL-MAY,4.38,4.36,4.45,4.31,4.4,0.02,"441,500"
KOSM-MAY,5.14,5.34,5.34,5.11,5.25,0.11,"1,145,000"
LPL-MAY,24.38,24.1,24.1,24.1,24.1,-0.28,500
LOTCHEM-MAY,18.52,18.7,19.09,18.7,18.84,0.32,"16,000"
LUCK-MAYB,353.46,362.1,363.0,355.0,359.98,6.52,"424,500"
MLCF-MAY,76.23,76.9,77.58,75.01,76.35,0.12,"5,609,500"
MARI-MAY,655.87,658.0,658.0,651.0,654.0,-1.87,"85,000"
MEBL-MAYC,280.00,280.0,280.0,280.0,280.0,,"1,000"
MUGHAL-MAY,66.12,66.99,67.45,66.25,67.4,1.28,"109,500"
NBP-MAYB,88.67,88.0,89.4,87.63,88.5,-0.17,"40,500"
NRL-MAY,195.13,202.0,203.5,193.56,202.0,6.87,"171,500"
NETSOL-MAY,134.33,133.0,137.0,133.0,136.5,2.17,"125,000"
NCPL-MAYB,24.30,24.34,24.34,24.34,24.34,0.04,"1,000"
NML-MAY,115.00,112.5,114.0,112.5,114.0,-1.0,"11,000"
OCTOPUS-MAY,46.99,47.0,48.39,46.5,48.39,1.4,"71,500"
OGDC-MAYB,219.63,219.64,219.64,215.0,215.8,-3.83,"878,000"
PSO-MAY,388.07,389.0,389.0,381.5,383.45,-4.62,"711,000"
PTC-MAY,20.09,20.3,20.8,20.3,20.8,0.71,"384,000"
PACE-MAY,5.24,5.3,5.3,5.24,5.3,0.06,"70,000"
PAEL-MAY,45.46,45.5,46.1,45.02,45.99,0.53,"1,429,000"
PIBTL-JUN,8.80,8.8,8.8,8.8,8.8,,"110,000"
PIBTL-MAY,8.68,8.7,8.79,8.52,8.63,-0.05,"712,500"
PPL-MAYB,168.30,170.03,171.75,168.05,168.7,0.4,"1,064,000"
PRL-MAY,29.71,29.8,30.62,29.1,30.55,0.84,"2,087,500"
PAKRI-MAYB,12.35,12.15,12.53,12.0,12.37,0.02,"96,000"
PIAHCLA-MAY,14.88,15.4,16.37,15.4,16.05,1.17,"3,404,500"
POWER-MAY,15.23,15.25,15.6,15.05,15.29,0.06,"1,339,500"
SAZEW-MAYB,"1,323.91",1315.1,1343.95,1312.0,1335.01,11.1,"149,000"
SNGP-MAYB,123.59,124.99,124.99,121.26,122.6,-0.99,"1,132,000"
SSGC-MAY,32.72,35.9,35.9,34.85,35.3,2.58,"11,783,000"
SYM-MAY,14.32,14.48,15.22,14.3,15.0,0.68,"552,500"
TELE-MAY,7.01,7.0,7.02,6.95,6.97,-0.04,"185,500"
THCCL-MAY,178.01,182.99,183.0,181.5,183.0,4.99,"321,500"
TOMCL-MAY,30.31,30.36,31.0,30.31,30.8,0.49,"111,000"
SEARL-JUN,84.17,86.0,86.0,86.0,86.0,1.83,500
SEARL-MAY,82.42,84.0,86.45,82.01,85.76,3.34,"802,500"
TPLP-MAY,8.32,8.37,8.38,8.29,8.31,-0.01,"45,000"
TREET-MAY,19.33,19.4,19.4,19.01,19.34,0.01,"577,500"
TRG-MAY,63.61,64.8,65.05,63.51,64.5,0.89,"749,500"
UBL-MAYB,498.53,500.0,505.0,490.0,503.0,4.47,"54,000"
UNITY-MAY,26.25,26.25,27.22,26.25,27.2,0.95,"64,000"
WAVES-MAY,7.55,7.67,7.67,7.5,7.58,0.03,"5,500"
WAVESAPP-MAY,9.08,9.15,9.2,8.93,9.08,,"51,000"
WTL-MAY,1.27,1.34,1.34,1.26,1.27,,"128,000"
YOUW-MAY,3.60,3.94,3.94,3.63,3.63,0.03,"102,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bal.Glass,8.72,8.56,8.97,8.51,8.69,-0.03,"78,755"
Frontier Ceram,26.30,27.88,28.93,27.88,28.93,2.63,"33,465"
Ghani Glass Ltd,31.96,32.0,32.6,31.55,32.6,0.64,"548,545"
Ghani Value GlassXD,46.42,46.17,47.45,46.16,46.7,0.28,"3,128"
GhaniGlobalGlass,8.54,8.57,8.74,8.35,8.68,0.14,"517,160"
Karam Ceramics,49.90,54.23,54.23,54.23,54.23,4.33,1
Shabbir Tiles,12.35,12.48,12.48,12.4,12.4,0.05,"2,080"
Tariq Glass Ind.XD,206.25,208.0,213.8,191.0,212.0,5.75,"130,926"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Adamjee Ins.,47.01,47.5,47.5,46.5,47.3,0.29,"18,011"
Adamjee Life Ass.,23.99,23.5,24.4,23.5,24.4,0.41,4
Atlas Ins. Ltd,59.24,59.0,59.0,58.89,58.89,-0.35,"3,003"
Century Ins.,37.19,36.51,39.95,35.5,36.01,-1.18,"6,540"
Cres.Star Ins.,2.61,2.74,2.74,2.61,2.61,,"20,125"
East West Insurance,57.29,60.0,60.0,60.0,60.0,2.71,1
EFU General,116.42,119.95,121.98,117.01,120.1,3.68,"1,042"
EFU Life AssuranceXD,140.87,140.8,140.8,139.01,140.7,-0.17,"1,580"
Habib Ins.,7.67,7.75,7.9,7.58,7.6,-0.07,"66,883"
IGI Holdings,174.19,174.9,174.9,172.0,172.35,-1.84,706
Jubile Life Ins,134.04,134.98,134.98,134.98,134.98,0.94,8
Jubilee Gen.Ins,51.06,50.01,51.45,50.01,50.51,-0.55,"77,085"
Pak Reinsurance,12.11,12.25,12.49,12.06,12.3,0.19,"229,825"
PICIC Ins.Ltd.,3.09,3.34,3.34,3.1,3.1,0.01,"28,997"
